Type, Score, NormScore
-1,-0.378571,0.6848393
-1,-0.6457158,0.5242871
1,0.4533718,1.5736091
1,0.1103907,1.1167143
1,0.5476063,1.7291091
-1,-0.6219048,0.5369207
-1,-0.9334676,0.3931879
1,0.1045822,1.1102467
1,0.6161257,1.8517399
-1,-0.6979327,0.497613
1,0.6001851,1.8224561
1,0.8688361,2.3841343
1,0.6267224,1.8714666
1,0.5145354,1.6728611
1,0.5196883,1.6815034
1,0.7261924,2.0671946
1,0.0121104,1.012184
1,0.3016818,1.3521309
1,0.9708706,2.6402421
-1,-0.6384398,0.5281157
-1,-0.0930749,0.9111253
-1,-0.0592632,0.9424587
-1,-0.494344,0.6099709
1,0.194484,1.214684
-1,-0.5391234,0.5832593
1,0.1261028,1.1343988
1,0.2919136,1.3389873
-1,-0.9379289,0.3914377
1,0.1635254,1.1776553
-1,-0.7457076,0.4743985
-1,-0.0179241,0.9822356
-1,-0.2520778,0.7771843
-1,-0.0271181,0.9732463
1,0.1281118,1.1366801
1,0.2212237,1.2476025
1,0.5196609,1.6814574
1,0.3382333,1.4024677
-1,-0.1490329,0.8615408
1,0.1005862,1.105819
1,0.3675363,1.4441722
-1,-0.5011793,0.6058158
1,0.8693532,2.3853675
-1,-0.3230199,0.7239594
-1,-0.8598207,0.423238
-1,-0.6846747,0.5042542
1,0.2569829,1.293023
1,0.1588388,1.172149
1,0.6963033,2.0063222
1,0.7952498,2.2149942
-1,-0.5922402,0.5530869
1,0.7698394,2.1594194
-1,-0.9967069,0.3690929
1,0.9497894,2.5851652
1,0.8445411,2.3269098
1,0.1240426,1.1320641
1,0.6603834,1.9355343
1,0.014576,1.0146827
-1,-0.7438957,0.4752588
1,0.5988155,1.8199618
-1,-0.9364828,0.3920042
-1,-0.8195597,0.4406256
-1,-0.0593964,0.9423332
-1,-0.542699,0.5811775
1,0.7730386,2.1663389
1,0.4317812,1.5399981
1,0.2592753,1.2959905
1,0.256908,1.2929262
1,0.0664476,1.068705
-1,-0.9178743,0.3993671
1,0.6376892,1.8921036
-1,-0.5175668,0.5959689
1,0.9694327,2.6364484
-1,-0.8572204,0.4243399
-1,-0.1989353,0.8196029
-1,-0.3698371,0.6908469
1,0.7091244,2.0322111
-1,-0.2225895,0.8004434
1,0.6025056,1.82669
-1,-0.6756956,0.5088024
1,0.3520735,1.422013
1,0.9940425,2.7021358
1,0.986559,2.6819898
-1,-0.3395087,0.7121201
1,0.9014188,2.4630953
-1,-0.7582039,0.4685072
1,0.8732008,2.3945631
1,0.5347363,1.706998
1,0.8596723,2.3623864
1,0.4726717,1.6042746
